unique_id,timestamp,x_shape,eval_test,model_name,model_version,model_version_note,runtime
4f605999-fabf-4045-9b4f-2029c361ad8d,1617965796.9376605,"(566, 6)",254,Netherlands-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
25ad3239-f9ee-4351-9546-b61ca583b0d4,1617965796.9541745,"(573, 6)",805,Spain-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f0a96808-1f88-412a-88a2-74eccd0732c0,1617965796.970034,"(563, 6)",7001,Norway-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f6397b0d-beb2-478c-bb90-bc87e7dd768d,1617965796.987253,"(398, 6)",1592,Hong Kong-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
13745dbb-d0f0-4a0f-9303-54ab15f3eb1e,1617965797.0058527,"(418, 6)",2592,Singapore-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
5016c85d-88b7-4f48-b0cf-41c32f99bb26,1617965797.272078,"(581, 6)",24773,all-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
4b58ed07-32b2-4c60-9971-e26d84caa19f,1617965797.4979064,"(581, 6)",24229,United Kingdom-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
4ffde83f-a6f1-43f1-9ee2-64c8c8688d23,1617965797.6447139,"(581, 6)",1007,Portugal-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
b2580257-411a-4d62-97ac-3b316151c2fe,1617965797.849571,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
8253e5d3-cec1-4f38-a615-59270a662554,1617965798.0594656,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
0b3e31b3-af09-4021-a913-5dd2b414f9da,1617965798.288928,"(581, 6)",595,France-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
4c242271-303f-409a-8042-292bcb9360d2,1617965798.4634612,"(566, 6)",114,Netherlands-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
157c83ce-2c50-4662-81e2-281809d44d85,1617965798.6245403,"(573, 6)",168,Spain-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
3e7a1333-06c9-4e7d-91f7-f5cd1e2d8dce,1617965798.736256,"(563, 6)",4122,Norway-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
519fa990-140d-440c-9eda-9ff3ca73d7f4,1617965798.8350267,"(398, 6)",902,Hong Kong-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
99cf498c-dd99-40cb-ae9e-73c1250bacdb,1617965798.926961,"(418, 6)",2328,Singapore-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
c845d02f-ef04-4db8-80c8-38b4f424fd6c,1617965829.1929636,"(581, 6)",73875,all-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
96820d24-6395-4bda-ace0-b9ab52ce3a38,1617965829.211639,"(581, 6)",72681,United Kingdom-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
077b3cd9-72c5-4291-badc-5b995cc62ad6,1617965829.2280934,"(581, 6)",1334,Portugal-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
ca906b01-cf1c-4435-b111-f8dc27b39bed,1617965829.245772,"(581, 6)",865,Germany-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
da953a47-6dd5-49da-8daf-0416cc0ba06a,1617965829.264438,"(578, 6)",3418,EIRE-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
93e93910-ef57-415a-a67c-ed6867336f45,1617965829.2856493,"(581, 6)",1094,France-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
545ceaf1-4641-4470-adad-ff3bcf33f67e,1617965829.305173,"(566, 6)",254,Netherlands-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
4213f228-5f27-4e11-9518-358c5ffe64ee,1617965829.3242137,"(573, 6)",805,Spain-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
97a726f0-7e13-41f2-917e-bee475482e1c,1617965829.3450735,"(563, 6)",7001,Norway-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
